Zip Code,Building type (service class),Consumption (therms),Utility/Data Source,Latitude,Longitude
10018,Commercial,1277032,ConEd,40.75684077,-73.9966915
11215,Small residential,9903140,National Grid,40.66555725,-73.97968154
10031,Residential,607749,ConEd,40.82495421,-73.95012444
10031,Large residential,1034833,ConEd,40.82495421,-73.95012444
11238,Industrial,228912,National Grid,40.67886241,-73.96382047
11377,Residential,74199,ConEd,40.74519376,-73.90484714
10024,Residential,403600,ConEd,40.78362557,-73.966539
11435,Institutional,865115,National Grid,40.70119265,-73.80979666
10029,Large residential,10842289,ConEd,40.79161072,-73.94403228
11365,Large residential,57283,ConEd,40.73987184,-73.79462154
11434,Large residential,38846378,National Grid,40.67694526,-73.7753069
11221,Large residential,8523704,National Grid,40.69128804,-73.92761793
10474,Commercial,3122702,ConEd,40.81088292,-73.88235636
