Zip Code,Building type (service class),Consumption (therms),Utility/Data Source,Latitude,Longitude
11427,Industrial,14014,National Grid,40.72931057,-73.75067602
11432,Industrial,106054,National Grid,40.71311535,-73.792821
10021,Commercial,5344734,ConEd,40.76920533,-73.95918394
10032,Large residential,10872811,ConEd,40.83693035,-73.94917852
10069,Residential,44780,ConEd,40.778254,-73.988542
10022,Large residential,98604,ConEd,40.75863022,-73.96809182
10032,Commercial,4152807,ConEd,40.83693035,-73.94917852
11368,Large residential,6347326,National Grid,40.74967822,-73.85304069
10465,Commercial,1220820,ConEd,40.82762807,-73.82241314
11370,Small residential,5080675,National Grid,40.75935377,-73.891844
10010,Commercial,2096300,ConEd,40.73914078,-73.98289846
11225,Small residential,4686218,National Grid,40.66317006,-73.95370111
10458,Large residential,2881283,ConEd,40.86260133,-73.88479002
11378,Large residential,618419,National Grid,40.7214531,-73.9085435
11205,Small residential,3834731,National Grid,40.6938821,-73.96433451
11369,Institutional,168544,National Grid,40.76341327,-73.8723789
11420,Commercial,8380985,National Grid,40.67334524,-73.81770717
10075,Residential,1035531,ConEd,40.77293949,-73.95609016
11243,Commercial,558,National Grid,40.68503,-73.978075
10302,Large residential,321677,National Grid,40.63083331,-74.1377343
10029,Commercial,2344076,ConEd,40.79161072,-73.94403228
10303,Small residential,4136073,National Grid,40.63303231,-74.16834885
11367,Small residential,1753,National Grid,40.73032309,-73.82610631
10459,Commercial,5960440,ConEd,40.82552622,-73.89313107
10044,Commercial,234470,ConEd,40.76197649,-73.94999967
10467,Commercial,3067369,ConEd,40.87704791,-73.8715325
10461,Residential,4848889,ConEd,40.84696059,-73.84063284
11230,Large residential,12513612,National Grid,40.62192951,-73.96551106
11218,Commercial,2009772,National Grid,40.64322701,-73.97644862
11103,Commercial,1904692,ConEd,40.76286893,-73.91327186
11694,Small residential,4716368,National Grid,40.57657831,-73.850777
11385,Large residential,5367560,National Grid,40.70122489,-73.88334858
10465,Residential,6724287,ConEd,40.82762807,-73.82241314
10007,Commercial,981522,ConEd,40.71363052,-74.00913138
10018,Residential,21822,ConEd,40.75684077,-73.9966915
11692,Small residential,2194609,National Grid,40.59313389,-73.79540208
11372,Large residential,14227014,National Grid,40.75163074,-73.88361255
11106,Residential,1827237,ConEd,40.76169979,-73.93166325
11426,Commercial,1716958,ConEd,40.73704138,-73.724157
10457,Commercial,5354415,ConEd,40.84579837,-73.89832419
11103,Large residential,80092,ConEd,40.76286893,-73.91327186
11357,Residential,6962862,ConEd,40.78628404,-73.81123206
11109,Commercial,752231,ConEd,40.74441479,-73.95770235
11385,Industrial,1048061,National Grid,40.70122489,-73.88334858
10308,Large residential,77333,National Grid,40.5529353,-74.15130276
11105,Large residential,23820,ConEd,40.78009207,-73.9096065
11213,Large residential,10763716,National Grid,40.67122517,-73.93644337
11370,Institutional,1231730,National Grid,40.75935377,-73.891844
10302,Small residential,3521474,National Grid,40.63083331,-74.1377343
10001,Commercial,4628579,ConEd,40.75025902,-73.9968863
10460,Commercial,6492444,ConEd,40.84309035,-73.87860283
11411,Industrial,4193,National Grid,40.69429334,-73.73568329
11211,Industrial,1046750,National Grid,40.71158977,-73.95817675
11228,Industrial,543497,National Grid,40.61654071,-74.01327785
11229,Small residential,12866878,National Grid,40.60123351,-73.94436854
11215,Large residential,6712652,National Grid,40.66555725,-73.97968154
10014,Residential,3950218,ConEd,40.73358645,-74.0101996
11417,Large residential,287216,National Grid,40.67636373,-73.84454276
11427,Commercial,141057,National Grid,40.72931057,-73.75067602
11423,Residential,21201,ConEd,40.7172223,-73.7671415
11377,Institutional,811937,National Grid,40.74519376,-73.90484714
10019,Residential,1511255,ConEd,40.76761165,-73.9918055
10012,Residential,178497,ConEd,40.72553802,-73.99789641
11106,Commercial,2708112,ConEd,40.76169979,-73.93166325
11415,Commercial,887,ConEd,40.70828608,-73.82855612
11209,Small residential,9963344,National Grid,40.6233871,-74.03065295
11428,Commercial,65563,ConEd,40.72139696,-73.7419373
10312,Institutional,273950,National Grid,40.54295598,-74.18037682
11105,Commercial,3603071,ConEd,40.78009207,-73.9096065
10009,Residential,186224,ConEd,40.72664936,-73.97911149
10002,Commercial,12107072,ConEd,40.71612147,-73.98583147
10459,Large residential,62003,ConEd,40.82552622,-73.89313107
11224,Institutional,455120,National Grid,40.57630466,-73.999532
10471,Commercial,2240882,ConEd,40.90199442,-73.9036265
10038,Commercial,1452146,ConEd,40.70935929,-74.00307186
10037,Commercial,2164822,ConEd,40.81329776,-73.93728253
11234,Commercial,6157277,National Grid,40.61636867,-73.92773225
11421,Small residential,7298987,National Grid,40.69176459,-73.85702229
10017,Large residential,258733,ConEd,40.75245653,-73.97297648
10470,Commercial,841945,ConEd,40.90012797,-73.87122775
11236,Commercial,3108542,National Grid,40.64002149,-73.90112194
11693,Commercial,948937,National Grid,40.6183036,-73.82495532
11422,Commercial,519522,National Grid,40.66161349,-73.73605173
11368,Small residential,11110386,National Grid,40.74967822,-73.85304069
11370,Large residential,1074379,National Grid,40.75935377,-73.891844
11252,Institutional,301262,National Grid,40.60793409,-74.02694267
10019,Commercial,2660,ConEd,40.76761165,-73.9918055
11385,Small residential,15255284,National Grid,40.70122489,-73.88334858
10027,Residential,331029,ConEd,40.81154956,-73.95290034
10281,Commercial,34332,ConEd,40.71433,-74.015197
11217,Small residential,4615326,National Grid,40.6823121,-73.97956719
10460,Large residential,121201,ConEd,40.84309035,-73.87860283
11216,Industrial,50669,National Grid,40.68075867,-73.94926775
11426,Residential,233178,ConEd,40.73704138,-73.724157
10451,Residential,697652,ConEd,40.82069641,-73.92384137
10301,Large residential,3780433,National Grid,40.62678551,-74.09611291
11209,Large residential,10004300,National Grid,40.6233871,-74.03065295
11205,Institutional,566498,National Grid,40.6938821,-73.96433451
10128,Residential,263835,ConEd,40.78177,-73.95062815
11357,Commercial,1271449,ConEd,40.78628404,-73.81123206
10474,Residential,114041,ConEd,40.81088292,-73.88235636
